player_wr,n_allies,share_allies,n_enemies,share_enemies,n_total,share_total
 0% - 35%,2,0.000323154,1,0.00013776,3,0.000223081
35% - 40%,58,0.009371466,46,0.006336961,104,0.007733492
40% - 45%,788,0.127322669,687,0.094641135,1475,0.109681737
45% - 48%,1340,0.216513169,1229,0.169307067,2569,0.191032124
48% - 50%,992,0.160284376,1122,0.154566745,2114,0.157198096
50% - 52%,906,0.146388754,1116,0.153740185,2022,0.15035693
52% - 55%,944,0.15252868,1222,0.168342747,2166,0.161064842
55% - 60%,765,0.123606398,1106,0.152362584,1871,0.139128495
60% - 65%,276,0.04459525,469,0.06460945,745,0.055398572
65% - 70%,82,0.013249313,176,0.024245764,258,0.019185009
70% -,36,0.005816772,85,0.011709602,121,0.00899762
